__time,/joint_states/header/seq,/joint_states/header/stamp,/joint_states/ursa_elbow_joint/effort,/joint_states/ursa_elbow_joint/position,/joint_states/ursa_elbow_joint/velocity,/joint_states/ursa_shoulder_lift_joint/effort,/joint_states/ursa_shoulder_lift_joint/position,/joint_states/ursa_shoulder_lift_joint/velocity,/joint_states/ursa_shoulder_pan_joint/effort,/joint_states/ursa_shoulder_pan_joint/position,/joint_states/ursa_shoulder_pan_joint/velocity,/joint_states/ursa_wrist_1_joint/effort,/joint_states/ursa_wrist_1_joint/position,/joint_states/ursa_wrist_1_joint/velocity,/joint_states/ursa_wrist_2_joint/effort,/joint_states/ursa_wrist_2_joint/position,/joint_states/ursa_wrist_2_joint/velocity,/joint_states/ursa_wrist_3_joint/effort,/joint_states/ursa_wrist_3_joint/position,/joint_states/ursa_wrist_3_joint/velocity,/my_joint_dest/Joint 1/effort,/my_joint_dest/Joint 1/position,/my_joint_dest/Joint 1/velocity,/my_joint_dest/Joint 2/effort,/my_joint_dest/Joint 2/position,/my_joint_dest/Joint 2/velocity,/my_joint_dest/Joint 3/effort,/my_joint_dest/Joint 3/position,/my_joint_dest/Joint 3/velocity,/my_joint_dest/Joint 4/effort,/my_joint_dest/Joint 4/position,/my_joint_dest/Joint 4/velocity,/my_joint_dest/Joint 5/effort,/my_joint_dest/Joint 5/position,/my_joint_dest/Joint 5/velocity,/my_joint_dest/Joint 6/effort,/my_joint_dest/Joint 6/position,/my_joint_dest/Joint 6/velocity,/my_joint_dest/header/seq,/my_joint_dest/header/stamp,/my_joint_errors/Joint 1/effort,/my_joint_errors/Joint 1/position,/my_joint_errors/Joint 1/velocity,/my_joint_errors/Joint 2/effort,/my_joint_errors/Joint 2/position,/my_joint_errors/Joint 2/velocity,/my_joint_errors/Joint 3/effort,/my_joint_errors/Joint 3/position,/my_joint_errors/Joint 3/velocity,/my_joint_errors/Joint 4/effort,/my_joint_errors/Joint 4/position,/my_joint_errors/Joint 4/velocity,/my_joint_errors/Joint 5/effort,/my_joint_errors/Joint 5/position,/my_joint_errors/Joint 5/velocity,/my_joint_errors/Joint 6/effort,/my_joint_errors/Joint 6/position,/my_joint_errors/Joint 6/velocity,/my_joint_errors/header/seq,/my_joint_errors/header/stamp
1646675097.542187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000016,-0.000074,-0.000169,0.000004,0.000046,0.000269,0.000075,0.000427,0.001309,0.000516,0.002549,0.003933,-0.000616,-0.003982,-0.016421,0.000197,0.000976,0.000939,737.000000,0.000000
1646675097.542207,,,,,,,,,,,,,,,,,,,,,0.051771,0.002322,0.013951,0.103542,-1.566152,0.027903,-0.517709,-0.023224,-0.139515,0.000000,-1.570796,0.000000,0.465938,0.020902,0.125563,0.000000,0.000000,0.000000,737.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.544156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000016,-0.000074,-0.000169,0.000005,0.000047,0.000268,0.000076,0.000430,0.001309,0.000521,0.002557,0.003902,-0.000624,-0.004015,-0.016501,0.000199,0.000978,0.000919,738.000000,0.000000
1646675097.544185,,,,,,,,,,,,,,,,,,,,,0.051897,0.002351,0.014056,0.103793,-1.566095,0.028113,-0.518965,-0.023508,-0.140564,0.000000,-1.570796,0.000000,0.467069,0.021157,0.126507,0.000000,0.000000,0.000000,738.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.546071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000016,-0.000075,-0.000177,0.000005,0.000047,0.000186,0.000076,0.000436,0.001531,0.000526,0.002565,0.003736,-0.000632,-0.004051,-0.016429,0.000201,0.000980,0.000905,739.000000,0.000000
1646675097.546125,,,,,,,,,,,,,,,,,,,,,0.052020,0.002379,0.014161,0.104041,-1.566038,0.028321,-0.520204,-0.023791,-0.141607,0.000000,-1.570796,0.000000,0.468184,0.021412,0.127446,0.000000,0.000000,0.000000,739.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.548129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000016,-0.000075,-0.000180,0.000005,0.000047,0.000150,0.000077,0.000440,0.001626,0.000531,0.002572,0.003649,-0.000640,-0.004085,-0.016480,0.000203,0.000982,0.000887,740.000000,0.000000
1646675097.548148,,,,,,,,,,,,,,,,,,,,,0.052141,0.002407,0.014263,0.104282,-1.565982,0.028526,-0.521411,-0.024070,-0.142632,0.000000,-1.570796,0.000000,0.469270,0.021663,0.128369,0.000000,0.000000,0.000000,740.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.550112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000016,-0.000075,-0.000175,0.000005,0.000048,0.000179,0.000078,0.000439,0.001528,0.000536,0.002579,0.003677,-0.000648,-0.004114,-0.016703,0.000205,0.000984,0.000866,741.000000,0.000000
1646675097.550468,,,,,,,,,,,,,,,,,,,,,0.052263,0.002436,0.014368,0.104526,-1.565925,0.028735,-0.522631,-0.024357,-0.143676,0.000000,-1.570796,0.000000,0.470368,0.021921,0.129309,0.000000,0.000000,0.000000,741.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.552084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000075,-0.000174,0.000005,0.000048,0.000188,0.000079,0.000442,0.001506,0.000541,0.002587,0.003665,-0.000657,-0.004148,-0.016801,0.000207,0.000985,0.000845,742.000000,0.000000
1646675097.552147,,,,,,,,,,,,,,,,,,,,,0.052384,0.002465,0.014472,0.104768,-1.565867,0.028944,-0.523842,-0.024645,-0.144722,0.000000,-1.570796,0.000000,0.471457,0.022181,0.130250,0.000000,0.000000,0.000000,742.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.554136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000076,-0.000177,0.000005,0.000049,0.000160,0.000080,0.000445,0.001596,0.000547,0.002594,0.003576,-0.000665,-0.004181,-0.016684,0.000209,0.000987,0.000825,743.000000,0.000000
1646675097.554206,,,,,,,,,,,,,,,,,,,,,0.052507,0.002494,0.014579,0.105013,-1.565808,0.029158,-0.525066,-0.024940,-0.145788,0.000000,-1.570796,0.000000,0.472559,0.022446,0.131209,0.000000,0.000000,0.000000,743.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.556255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000076,-0.000180,0.000005,0.000048,0.000135,0.000081,0.000453,0.001676,0.000552,0.002601,0.003510,-0.000673,-0.004219,-0.016685,0.000211,0.000989,0.000806,744.000000,0.000000
1646675097.556354,,,,,,,,,,,,,,,,,,,,,0.052625,0.002523,0.014682,0.105249,-1.565751,0.029365,-0.526245,-0.025229,-0.146825,0.000000,-1.570796,0.000000,0.473621,0.022706,0.132142,0.000000,0.000000,0.000000,744.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.558140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000076,-0.000176,0.000005,0.000049,0.000165,0.000082,0.000452,0.001580,0.000557,0.002608,0.003540,-0.000682,-0.004249,-0.016887,0.000213,0.000990,0.000785,745.000000,0.000000
1646675097.558225,,,,,,,,,,,,,,,,,,,,,0.052743,0.002552,0.014788,0.105487,-1.565692,0.029575,-0.527434,-0.025523,-0.147877,0.000000,-1.570796,0.000000,0.474690,0.022971,0.133090,0.000000,0.000000,0.000000,745.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.558264,1864788.000000,1646675097.557938,-5.702401,-0.023915,-0.142170,-3.137621,-1.565876,0.028923,0.950155,0.002360,0.014194,-1.352665,-1.568210,0.003665,2.169072,0.017773,0.112508,-0.505033,0.000985,0.000845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646675097.560117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000077,-0.000173,0.000005,0.000050,0.000199,0.000083,0.000455,0.001485,0.000562,0.002615,0.003579,-0.000690,-0.004283,-0.017038,0.000215,0.000992,0.000764,746.000000,0.000000
1646675097.561948,,,,,,,,,,,,,,,,,,,,,0.052861,0.002582,0.014893,0.105723,-1.565632,0.029787,-0.528615,-0.025820,-0.148933,0.000000,-1.570796,0.000000,0.475753,0.023238,0.134040,0.000000,0.000000,0.000000,746.000000,0.000000,,,,,,,,,,,,,,,,,,,,
1646675097.562150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.000017,-0.000077,-0.000174,0.000005,0.000050,0.000191,0.000084,0.000458,0.001523,0.000567,0.002622,0.003527,-0.000699,-0.004316,-0.016936,0.000217,0.000993,0.000745,747.000000,0.000000
